n	Experimental	Theoretical
----------------------------------------
1	2.00000	1.59577
2	2.48000	2.25676
3	2.95600	2.76395
4	3.32500	3.19154
5	3.75700	3.56825
6	4.09000	3.90882
7	4.34800	4.22201
8	4.61600	4.51352
9	4.88000	4.78731
10	5.07100	5.04627
11	5.49600	5.29257
12	5.69100	5.52791
13	5.86600	5.75363
14	6.12800	5.97082
15	6.27900	6.18039
16	6.45600	6.38308
17	6.75900	6.57952
18	6.87500	6.77028
19	7.09700	6.95580
20	7.30100	7.13650
21	7.30200	7.31273
22	7.56200	7.48482
23	7.80400	7.65304
24	7.81900	7.81764
25	7.95700	7.97885
26	8.23200	8.13686
27	8.39600	8.29186
28	8.57700	8.44402
29	8.69800	8.59348
30	8.85800	8.74039
31	8.86700	8.88487
32	9.15100	9.02703
33	9.21200	9.16700
34	9.48300	9.30485
35	9.58100	9.44070
36	9.78000	9.57461
37	9.66700	9.70668
38	9.80700	9.83698
39	10.15800	9.96557
40	10.16100	10.09253
41	10.32400	10.21791
42	10.47000	10.34177
43	10.58400	10.46416
44	10.74400	10.58513
45	10.79200	10.70474
46	10.85600	10.82303
47	11.11300	10.94004
48	11.17100	11.05581
49	11.09200	11.17038
50	11.33600	11.28379
51	11.40400	11.39607
52	11.52000	11.50725
53	11.75200	11.61737
54	11.91800	11.72646
55	12.13600	11.83454
56	12.02000	11.94164
57	12.25400	12.04779
58	12.11500	12.15302
59	12.23300	12.25734
60	12.47600	12.36077
61	12.49200	12.46336
62	12.49300	12.56510
63	12.69500	12.66602
64	12.67400	12.76615
65	12.84100	12.86550
66	12.71500	12.96409
67	13.36200	13.06193
68	13.35800	13.15905
69	13.23100	13.25545
70	13.27800	13.35116
71	13.30100	13.44619
72	13.58400	13.54055
73	13.76200	13.63426
74	14.02700	13.72733
75	13.85100	13.81977
76	14.00100	13.91159
77	14.12200	14.00282
78	13.97800	14.09345
79	13.93700	14.18351
80	14.32200	14.27299
81	14.33200	14.36192
82	14.39400	14.45030
83	14.71700	14.53815
84	14.72100	14.62547
85	14.93000	14.71226
86	14.98100	14.79855
87	14.99100	14.88434
88	14.88700	14.96964
89	15.08500	15.05446
90	15.13200	15.13880
91	15.25600	15.22267
92	15.54400	15.30608
93	15.17900	15.38904
94	15.69800	15.47156
95	15.80600	15.55363
96	15.54900	15.63528
97	15.58400	15.71650
98	15.62100	15.79731
99	16.05700	15.87770
100	16.31600	15.95769
101	16.10300	16.03728
102	15.97900	16.11648
103	16.02600	16.19529
104	16.43000	16.27372
105	16.30100	16.35177
106	16.38500	16.42945
107	16.69700	16.50676
108	16.46000	16.58372
109	16.78100	16.66032
110	16.64500	16.73657
111	16.79800	16.81247
112	17.06700	16.88803
113	17.07800	16.96326
114	17.15700	17.03815
115	16.86600	17.11272
116	17.07100	17.18696
117	17.18800	17.26088
118	17.37100	17.33449
119	17.71100	17.40779
120	17.70900	17.48077
121	17.63100	17.55346
122	17.38600	17.62585
123	17.78600	17.69794
124	17.60300	17.76973
125	18.10700	17.84124
126	17.74400	17.91246
127	18.25000	17.98340
128	18.28400	18.05407
129	18.12500	18.12445
130	18.21900	18.19457
131	18.32300	18.26441
132	18.41100	18.33399
133	18.60500	18.40331
134	18.42900	18.47236
135	18.44800	18.54116
136	18.91500	18.60971
137	18.99300	18.67800
138	18.53800	18.74604
139	18.58800	18.81384
140	19.17400	18.88139
141	18.77100	18.94871
142	19.06000	19.01578
143	19.05100	19.08262
144	19.11800	19.14923
145	19.25600	19.21560
146	19.54100	19.28175
147	19.38200	19.34767
148	19.33600	19.41337
149	19.55600	19.47884
150	19.54800	19.54410
151	19.75400	19.60914
152	19.81900	19.67396
153	19.59200	19.73857
154	19.87800	19.80297
155	19.87100	19.86717
156	19.90900	19.93115
157	20.19500	19.99493
158	20.42700	20.05851
159	20.16600	20.12188
160	20.14900	20.18506
161	20.23900	20.24804
162	20.23900	20.31083
163	20.19200	20.37342
164	20.56500	20.43582
165	20.74600	20.49803
166	20.90500	20.56005
167	20.79600	20.62188
168	20.39400	20.68353
169	20.84600	20.74500
170	20.82500	20.80628
171	20.77600	20.86739
172	20.90900	20.92832
173	21.20400	20.98907
174	20.96000	21.04964
175	20.89700	21.11004
176	20.70100	21.17027
177	21.40600	21.23033
178	21.26100	21.29022
179	21.36900	21.34994
180	21.21400	21.40949
