Pas	Experimental	Theoretical
1	2.00000	0.40000
2	2.72000	0.80000
3	3.49900	1.20000
4	4.14100	1.60000
5	4.81600	2.00000
6	5.47500	2.40000
7	6.19700	2.80000
8	6.71000	3.20000
9	7.26200	3.60000
10	7.89600	4.00000
11	8.46600	4.40000
12	9.05300	4.80000
13	9.57200	5.20000
14	10.09700	5.60000
15	10.61500	6.00000
16	11.24000	6.40000
17	11.73900	6.80000
18	12.24400	7.20000
19	12.92100	7.60000
20	13.26700	8.00000
21	13.88000	8.40000
22	14.30100	8.80000
23	15.01700	9.20000
24	15.48100	9.60000
25	16.03300	10.00000
26	16.41500	10.40000
27	17.00100	10.80000
28	17.10100	11.20000
29	18.09200	11.60000
30	18.65100	12.00000
31	18.90100	12.40000
32	19.35700	12.80000
33	19.94100	13.20000
34	20.44400	13.60000
35	20.85800	14.00000
36	21.42300	14.40000
37	21.88100	14.80000
38	22.26600	15.20000
39	22.78500	15.60000
40	23.10900	16.00000
41	23.61200	16.40000
42	24.05600	16.80000
43	24.42700	17.20000
44	25.11600	17.60000
45	25.57100	18.00000
46	25.96000	18.40000
47	26.32300	18.80000
48	26.97300	19.20000
49	27.61700	19.60000
50	27.90000	20.00000
51	28.28000	20.40000
52	28.77200	20.80000
53	29.14500	21.20000
54	29.82700	21.60000
55	30.04800	22.00000
56	30.53000	22.40000
57	30.92300	22.80000
58	31.53100	23.20000
59	31.90800	23.60000
60	31.99500	24.00000
61	32.85200	24.40000
62	33.42600	24.80000
63	33.73200	25.20000
64	34.42300	25.60000
65	34.40600	26.00000
66	35.10400	26.40000
67	35.47500	26.80000
68	36.02100	27.20000
69	36.39400	27.60000
70	37.05200	28.00000
71	37.13400	28.40000
72	37.90600	28.80000
73	38.16800	29.20000
74	38.55500	29.60000
75	38.78200	30.00000
76	39.28300	30.40000
77	39.67600	30.80000
78	40.41600	31.20000
79	40.70300	31.60000
80	41.28500	32.00000
81	41.60400	32.40000
82	41.84800	32.80000
83	42.53900	33.20000
84	42.73300	33.60000
85	43.45200	34.00000
86	43.40900	34.40000
87	44.16300	34.80000
88	44.62000	35.20000
89	44.62100	35.60000
90	45.16900	36.00000
91	45.83600	36.40000
92	45.90500	36.80000
93	46.65500	37.20000
94	46.87800	37.60000
95	47.58900	38.00000
96	47.94500	38.40000
97	48.22400	38.80000
98	48.73500	39.20000
99	49.10200	39.60000
100	49.20400	40.00000
101	49.97700	40.40000
102	50.72600	40.80000
103	50.60200	41.20000
104	51.38900	41.60000
105	51.84700	42.00000
106	51.84900	42.40000
107	52.25100	42.80000
108	52.95200	43.20000
109	53.67700	43.60000
110	54.38200	44.00000
111	54.25200	44.40000
112	54.27700	44.80000
113	55.01600	45.20000
114	55.34800	45.60000
115	55.74200	46.00000
116	56.48000	46.40000
117	56.64500	46.80000
118	57.28400	47.20000
119	56.85100	47.60000
120	57.47600	48.00000
121	58.54300	48.40000
122	58.94100	48.80000
123	58.71700	49.20000
124	59.37700	49.60000
125	59.22300	50.00000
126	60.33300	50.40000
127	60.82300	50.80000
128	61.00400	51.20000
129	61.56900	51.60000
130	61.32000	52.00000
131	61.69100	52.40000
132	62.67900	52.80000
133	63.06700	53.20000
134	63.18800	53.60000
135	63.95100	54.00000
136	64.14600	54.40000
137	64.59900	54.80000
