Pas	Proportion
0	0.00000
1	0.00000
2	0.25060
3	0.25060
4	0.33190
5	0.33190
6	0.37570
7	0.37570
8	0.40210
9	0.40210
10	0.42450
11	0.42450
12	0.43790
13	0.43790
14	0.45230
15	0.45230
16	0.46420
17	0.46420
18	0.47430
19	0.47430
20	0.48350
21	0.48350
22	0.49040
23	0.49040
24	0.49670
25	0.49670
26	0.50210
27	0.50210
28	0.50690
29	0.50690
30	0.51070
31	0.51070
32	0.51600
33	0.51600
34	0.52030
35	0.52030
36	0.52420
37	0.52420
38	0.52720
39	0.52720
40	0.52970
41	0.52970
42	0.53350
43	0.53350
44	0.53650
45	0.53650
46	0.53900
47	0.53900
48	0.54200
49	0.54200
50	0.54460
51	0.54460
52	0.54700
53	0.54700
54	0.54880
55	0.54880
56	0.55100
57	0.55100
58	0.55260
59	0.55260
60	0.55610
61	0.55610
62	0.55790
63	0.55790
64	0.55960
65	0.55960
66	0.56110
67	0.56110
68	0.56280
69	0.56280
70	0.56480
71	0.56480
72	0.56690
73	0.56690
74	0.56880
75	0.56880
76	0.57070
77	0.57070
78	0.57170
79	0.57170
80	0.57320
81	0.57320
82	0.57440
83	0.57440
84	0.57640
85	0.57640
86	0.57750
87	0.57750
88	0.57860
89	0.57860
90	0.58040
91	0.58040
92	0.58180
93	0.58180
94	0.58360
95	0.58360
96	0.58440
97	0.58440
98	0.58540
99	0.58540
100	0.58630
101	0.58630
102	0.58690
103	0.58690
104	0.58760
105	0.58760
106	0.58870
107	0.58870
108	0.59040
109	0.59040
110	0.59170
111	0.59170
112	0.59310
113	0.59310
114	0.59410
115	0.59410
116	0.59500
117	0.59500
118	0.59560
119	0.59560
120	0.59610
121	0.59610
122	0.59670
123	0.59670
124	0.59720
125	0.59720
126	0.59770
127	0.59770
128	0.59880
129	0.59880
130	0.59940
131	0.59940
132	0.60020
133	0.60020
134	0.60080
135	0.60080
136	0.60180
137	0.60180
138	0.60280
139	0.60280
140	0.60380
141	0.60380
142	0.60430
143	0.60430
144	0.60510
145	0.60510
146	0.60570
147	0.60570
148	0.60610
149	0.60610
150	0.60710
151	0.60710
152	0.60760
153	0.60760
154	0.60900
155	0.60900
156	0.60920
157	0.60920
158	0.60970
159	0.60970
160	0.60980
161	0.60980
162	0.61070
163	0.61070
164	0.61120
165	0.61120
166	0.61210
167	0.61210
168	0.61260
169	0.61260
170	0.61320
171	0.61320
172	0.61380
173	0.61380
174	0.61450
175	0.61450
176	0.61480
177	0.61480
178	0.61520
179	0.61520
180	0.61540
181	0.61540
182	0.61570
183	0.61570
184	0.61610
185	0.61610
186	0.61640
187	0.61640
188	0.61680
189	0.61680
190	0.61740
191	0.61740
192	0.61850
193	0.61850
194	0.61880
195	0.61880
196	0.61920
197	0.61920
198	0.61990
199	0.61990
200	0.62020
201	0.62020
202	0.62020
203	0.62020
204	0.62030
205	0.62030
206	0.62090
207	0.62090
208	0.62100
209	0.62100
210	0.62140
211	0.62140
212	0.62180
213	0.62180
214	0.62220
215	0.62220
216	0.62240
217	0.62240
218	0.62270
219	0.62270
220	0.62310
221	0.62310
222	0.62360
223	0.62360
224	0.62440
225	0.62440
226	0.62480
227	0.62480
228	0.62500
229	0.62500
230	0.62520
231	0.62520
232	0.62550
233	0.62550
234	0.62600
235	0.62600
236	0.62640
237	0.62640
238	0.62690
239	0.62690
240	0.62720
241	0.62720
242	0.62730
243	0.62730
244	0.62740
245	0.62740
246	0.62790
247	0.62790
248	0.62830
249	0.62830
250	0.62880
251	0.62880
252	0.62900
253	0.62900
254	0.62960
255	0.62960
256	0.63020
257	0.63020
258	0.63050
259	0.63050
260	0.63080
261	0.63080
262	0.63120
263	0.63120
264	0.63160
265	0.63160
266	0.63190
267	0.63190
268	0.63220
269	0.63220
270	0.63250
271	0.63250
272	0.63270
273	0.63270
274	0.63300
275	0.63300
276	0.63350
277	0.63350
278	0.63380
279	0.63380
280	0.63400
281	0.63400
282	0.63410
283	0.63410
284	0.63440
285	0.63440
286	0.63500
287	0.63500
288	0.63530
289	0.63530
290	0.63540
291	0.63540
292	0.63570
293	0.63570
294	0.63610
295	0.63610
296	0.63630
297	0.63630
298	0.63670
299	0.63670
300	0.63710
301	0.63710
302	0.63710
303	0.63710
304	0.63730
305	0.63730
306	0.63750
307	0.63750
308	0.63760
309	0.63760
310	0.63760
311	0.63760
312	0.63780
313	0.63780
314	0.63810
315	0.63810
316	0.63830
317	0.63830
318	0.63840
319	0.63840
320	0.63850
321	0.63850
322	0.63870
323	0.63870
324	0.63900
325	0.63900
326	0.63940
327	0.63940
328	0.63940
329	0.63940
330	0.63970
331	0.63970
332	0.64020
333	0.64020
334	0.64040
335	0.64040
336	0.64060
337	0.64060
338	0.64070
339	0.64070
340	0.64100
341	0.64100
342	0.64120
343	0.64120
344	0.64140
345	0.64140
346	0.64160
347	0.64160
348	0.64170
349	0.64170
350	0.64170
351	0.64170
352	0.64200
353	0.64200
354	0.64210
355	0.64210
356	0.64240
357	0.64240
358	0.64270
359	0.64270
360	0.64270
361	0.64270
362	0.64320
363	0.64320
364	0.64370
365	0.64370
366	0.64380
367	0.64380
368	0.64380
369	0.64380
370	0.64390
371	0.64390
372	0.64390
373	0.64390
374	0.64400
375	0.64400
376	0.64420
377	0.64420
378	0.64420
379	0.64420
380	0.64430
381	0.64430
382	0.64440
383	0.64440
384	0.64460
385	0.64460
386	0.64470
387	0.64470
388	0.64480
389	0.64480
390	0.64490
391	0.64490
392	0.64510
393	0.64510
394	0.64520
395	0.64520
396	0.64530
397	0.64530
398	0.64530
399	0.64530
400	0.64570
401	0.64570
402	0.64580
403	0.64580
404	0.64600
405	0.64600
406	0.64610
407	0.64610
408	0.64630
409	0.64630
410	0.64650
411	0.64650
412	0.64660
413	0.64660
414	0.64680
415	0.64680
